run,description,train_pct,weight_decay,learning_rate,seed,operator,train99,val99,stable99,first_delay,stable_delay,png
E1_fraction30_wd1,"Low-data calibration: division mod 97, 30% training data, weight decay 1",30,1.0,0.001,0,,414,11820.0,11820.0,11406.0,11406.0,C:\Users\Ajay\Documents\Thesis\runs\boundary_calibration_20260915_180629\plots\E1_fraction30_wd1_grokking_curve.png
E2_50pct_wd003,"Weak-regularisation calibration: division mod 97, 50% training data, weight decay 0.03",50,0.03,0.001,0,,620,81210.0,81210.0,80590.0,80590.0,C:\Users\Ajay\Documents\Thesis\runs\boundary_calibration_20260915_180629\plots\E2_50pct_wd003_grokking_curve.png
E3_lr0003,"Learning-rate calibration: division mod 97, 50% training data, weight decay 1, LR 0.0003",50,1.0,0.0003,0,,3720,8890.0,9240.0,5170.0,5520.0,C:\Users\Ajay\Documents\Thesis\runs\boundary_calibration_20260915_180629\plots\E3_lr0003_grokking_curve.png
E4_lr003,"Learning-rate calibration: division mod 97, 50% training data, weight decay 1, LR 0.003",50,1.0,0.003,0,,660,750.0,750.0,90.0,90.0,C:\Users\Ajay\Documents\Thesis\runs\boundary_calibration_20260915_180629\plots\E4_lr003_grokking_curve.png
E5_fraction20_wd1,"Very-low-data calibration: division mod 97, 20% training data, weight decay 1",20,1.0,0.001,0,,284,,,,,C:\Users\Ajay\Documents\Thesis\runs\boundary_calibration_20260915_180629\plots\E5_fraction20_wd1_grokking_curve.png
