run,description,train_pct,weight_decay,learning_rate,seed,operator,train99,val99,stable99,first_delay,stable_delay,png
D1_seed1_50pct_wd1,"Seed robustness: division mod 97, 50% training data, weight decay 1, seed 1",50,1.0,,1,,1480,3650,3650,2170,2170,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D1_seed1_50pct_wd1_grokking_curve.png
D2_seed2_50pct_wd1,"Seed robustness: division mod 97, 50% training data, weight decay 1, seed 2",50,1.0,,2,,1060,3720,4000,2660,2940,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D2_seed2_50pct_wd1_grokking_curve.png
D3_fraction40_wd1,"Training-fraction calibration: division mod 97, 40% training data, weight decay 1",40,1.0,,0,,584,5136,5136,4552,4552,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D3_fraction40_wd1_grokking_curve.png
D4_fraction60_wd1,"Training-fraction calibration: division mod 97, 60% training data, weight decay 1",60,1.0,,0,,957,2695,2695,1738,1738,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D4_fraction60_wd1_grokking_curve.png
D5_fraction70_wd1,"Training-fraction calibration: division mod 97, 70% training data, weight decay 1",70,1.0,,0,,1209,2145,2262,936,1053,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D5_fraction70_wd1_grokking_curve.png
D6_50pct_wd03,"Weight-decay calibration: division mod 97, 50% training data, weight decay 0.3",50,0.3,,0,,670,10990,10990,10320,10320,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D6_50pct_wd03_grokking_curve.png
D7_50pct_wd01,"Weight-decay calibration: division mod 97, 50% training data, weight decay 0.1",50,0.1,,0,,620,34100,34100,33480,33480,C:\Users\Ajay\Documents\Thesis\runs\calibration_20260915_151232\plots\D7_50pct_wd01_grokking_curve.png
