step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
9,,,,,0.0,5.370821952819824,0.0,0.0
10,0.0,0.0,3.8797476291656494,3.882648468017578,,,,1.0
19,,,,,0.0,3.527120590209961,0.0003000000142492354,1.0
20,0.0,0.0,3.0951433181762695,3.099518299102783,,,,2.0
29,,,,,0.0,2.9764578342437744,0.0003000000142492354,2.0
30,0.0,0.0,2.7643356323242188,2.7724714279174805,,,,3.0
39,,,,,0.0,2.6952104568481445,0.0003000000142492354,3.0
40,0.0,0.0,2.5627572536468506,2.573070764541626,,,,4.0
49,,,,,0.0,2.5323052406311035,0.0003000000142492354,4.0
50,0.0,0.0,2.4775593280792236,2.488323926925659,,,,5.0
59,,,,,0.2147766351699829,2.462207317352295,0.0003000000142492354,5.0
60,0.7087628841400146,0.47250860929489136,2.4287257194519043,2.439187526702881,,,,6.0
69,,,,,0.47250860929489136,2.4189162254333496,0.0003000000142492354,6.0
70,0.880584180355072,0.9664948582649231,2.3969831466674805,2.4075100421905518,,,,7.0
79,,,,,0.9450172185897827,2.3910374641418457,0.0003000000142492354,7.0
80,0.9879724979400635,1.0738831758499146,2.3761940002441406,2.3864614963531494,,,,8.0
89,,,,,1.0094501972198486,2.3721165657043457,0.0003000000142492354,8.0
90,1.1597938537597656,0.9020618796348572,2.3610990047454834,2.3712034225463867,,,,9.0
99,,,,,1.1597938537597656,2.358680009841919,0.0003000000142492354,9.0
100,1.1383161544799805,0.9020618796348572,2.3503048419952393,2.3609256744384766,,,,10.0
109,,,,,1.1383161544799805,2.3488481044769287,0.0003000000142492354,10.0
110,1.2027491331100464,0.880584180355072,2.3417372703552246,2.352224349975586,,,,11.0
119,,,,,1.1812715530395508,2.3406238555908203,0.0003000000142492354,11.0
120,1.2027491331100464,0.8591065406799316,2.3348429203033447,2.3442792892456055,,,,12.0
129,,,,,1.202749252319336,2.3342056274414062,0.0003000000142492354,12.0
130,1.1597938537597656,0.8161512017250061,2.3288207054138184,2.338686227798462,,,,13.0
139,,,,,1.0953608751296997,2.3284308910369873,0.0003000000142492354,13.0
140,1.1383161544799805,0.9450172185897827,2.3234288692474365,2.3325326442718506,,,,14.0
149,,,,,0.9879724979400635,2.3239409923553467,0.0003000000142492354,14.0
150,1.2457045316696167,0.6872852444648743,2.319019317626953,2.3284482955932617,,,,15.0
159,,,,,1.2671821117401123,2.3185932636260986,0.0003000000142492354,15.0
160,2.2121994495391846,1.911512017250061,2.31394100189209,2.3238558769226074,,,,16.0
169,,,,,2.1692440509796143,2.3141560554504395,0.0003000000142492354,16.0
170,2.1907217502593994,1.9329897165298462,2.3096282482147217,2.320587635040283,,,,17.0
179,,,,,2.0403780937194824,2.3095297813415527,0.0003000000142492354,17.0
180,1.1597938537597656,0.8161512017250061,2.304746627807617,2.315471649169922,,,,18.0
189,,,,,0.9879724979400635,2.305112838745117,0.0003000000142492354,18.0
190,1.0953608751296997,0.8591065406799316,2.299546957015991,2.3092141151428223,,,,19.0
199,,,,,1.1597938537597656,2.299570322036743,0.0003000000142492354,19.0
200,2.0833332538604736,1.7396907806396484,2.2933669090270996,2.304921865463257,,,,20.0
209,,,,,1.8900344371795654,2.2929787635803223,0.0003000000142492354,20.0
210,2.147766351699829,1.8470790386199951,2.2863025665283203,2.2981157302856445,,,,21.0
219,,,,,2.126288652420044,2.286426544189453,0.0003000000142492354,21.0
220,2.1692440509796143,1.8470790386199951,2.2815821170806885,2.2910165786743164,,,,22.0
229,,,,,2.1907217502593994,2.281958818435669,0.0003000000142492354,22.0
230,2.2336769104003906,1.9329897165298462,2.277388572692871,2.2873682975769043,,,,23.0
239,,,,,2.3410654067993164,2.2777938842773438,0.0003000000142492354,23.0
240,2.298110008239746,1.8900344371795654,2.2743334770202637,2.2874155044555664,,,,24.0
249,,,,,2.469931125640869,2.2755749225616455,0.0003000000142492354,24.0
250,2.426975965499878,1.6967353820800781,2.2717480659484863,2.286106824874878,,,,25.0
259,,,,,1.954467535018921,2.2730906009674072,0.0003000000142492354,25.0
260,2.3625431060791016,1.8470790386199951,2.269369125366211,2.2852494716644287,,,,26.0
269,,,,,2.2121994495391846,2.2705798149108887,0.0003000000142492354,26.0
270,2.59879732131958,1.5893471240997314,2.267282485961914,2.2870752811431885,,,,27.0
279,,,,,2.276632308959961,2.2690627574920654,0.0003000000142492354,27.0
280,2.298110008239746,1.7396907806396484,2.2646543979644775,2.287726640701294,,,,28.0
289,,,,,2.3410654067993164,2.2653980255126953,0.0003000000142492354,28.0
290,2.3410654067993164,1.8041237592697144,2.262441635131836,2.2868497371673584,,,,29.0
299,,,,,2.1907215118408203,2.263533115386963,0.0003000000142492354,29.0
300,2.5558419227600098,1.5463917255401611,2.2591004371643066,2.2856574058532715,,,,30.0
309,,,,,2.3410654067993164,2.259813070297241,0.0003000000142492354,30.0
310,2.59879732131958,1.6323024034500122,2.2555880546569824,2.2902305126190186,,,,31.0
319,,,,,2.6202750205993652,2.2569899559020996,0.0003000000142492354,31.0
320,2.8565292358398438,1.6537801027297974,2.2526092529296875,2.29282808303833,,,,32.0
329,,,,,2.5343642234802246,2.25386381149292,0.0003000000142492354,32.0
330,3.2431271076202393,1.5034364461898804,2.247119188308716,2.297011375427246,,,,33.0
339,,,,,3.1142611503601074,2.2481839656829834,0.0003000000142492354,33.0
340,3.1142611503601074,1.3316150903701782,2.242086172103882,2.3034262657165527,,,,34.0
349,,,,,2.899484634399414,2.2442731857299805,0.0003000000142492354,34.0
350,3.049828290939331,1.5249141454696655,2.237947463989258,2.3083853721618652,,,,35.0
359,,,,,3.1142611503601074,2.238405466079712,0.0003000000142492354,35.0
360,3.7156357765197754,1.4390034675598145,2.2302398681640625,2.3168466091156006,,,,36.0
369,,,,,3.500859260559082,2.2307324409484863,0.0003000000142492354,36.0
370,3.8659794330596924,1.4390034675598145,2.2224249839782715,2.3262887001037598,,,,37.0
379,,,,,3.672680616378784,2.2244274616241455,0.0003000000142492354,37.0
380,4.359965801239014,1.3745704889297485,2.2129688262939453,2.340104341506958,,,,38.0
389,,,,,4.1666669845581055,2.2148241996765137,0.0003000000142492354,38.0
390,4.295532703399658,1.4604811668395996,2.2027347087860107,2.3537862300872803,,,,39.0
399,,,,,4.080756187438965,2.2042078971862793,0.0003000000142492354,39.0
400,4.682130813598633,1.3101375102996826,2.193269729614258,2.370631456375122,,,,40.0
409,,,,,4.381443500518799,2.1959023475646973,0.0003000000142492354,40.0
410,4.961340427398682,1.3101375102996826,2.1818759441375732,2.383793592453003,,,,41.0
419,,,,,4.896907329559326,2.1844775676727295,0.0003000000142492354,41.0
420,5.176116943359375,1.2457045316696167,2.17160964012146,2.408099412918091,,,,42.0
429,,,,,4.982817649841309,2.175767660140991,0.0003000000142492354,42.0
430,5.304982662200928,1.2242268323898315,2.16117525100708,2.4116642475128174,,,,43.0
439,,,,,5.133161544799805,2.164686918258667,0.0003000000142492354,43.0
440,5.56271505355835,1.2242268323898315,2.150076389312744,2.430614948272705,,,,44.0
449,,,,,5.262027740478516,2.1552815437316895,0.0003000000142492354,44.0
450,6.335910797119141,1.2671821117401123,2.139528274536133,2.436211347579956,,,,45.0
459,,,,,6.121134281158447,2.1418468952178955,0.0003000000142492354,45.0
460,6.228522300720215,1.2242268323898315,2.128962755203247,2.448028564453125,,,,46.0
469,,,,,6.0137457847595215,2.1339313983917236,0.0003000000142492354,46.0
470,6.65807580947876,1.2242268323898315,2.1194982528686523,2.4543399810791016,,,,47.0
479,,,,,6.378866195678711,2.1219894886016846,0.0003000000142492354,47.0
480,7.237972736358643,1.1597938537597656,2.107853412628174,2.461313247680664,,,,48.0
489,,,,,7.044673919677734,2.1116743087768555,0.0003000000142492354,48.0
490,7.366838455200195,1.1383161544799805,2.09855580329895,2.468271017074585,,,,49.0
499,,,,,7.001718521118164,2.103351593017578,0.0003000000142492354,49.0
500,7.731958866119385,1.2027491331100464,2.088949203491211,2.4784348011016846,,,,50.0
509,,,,,7.753436088562012,2.093698501586914,0.0003000000142492354,50.0
510,8.44072151184082,1.2457045316696167,2.0790183544158936,2.4802932739257812,,,,51.0
519,,,,,7.903779983520508,2.082671642303467,0.0003000000142492354,51.0
520,8.39776611328125,1.1812715530395508,2.0693347454071045,2.482684373855591,,,,52.0
529,,,,,8.2044677734375,2.0723259449005127,0.0003000000142492354,52.0
530,9.042096138000488,1.1812715530395508,2.0587284564971924,2.4986343383789062,,,,53.0
539,,,,,8.35481071472168,2.063751697540283,0.0003000000142492354,53.0
540,9.128006935119629,1.1597938537597656,2.0508763790130615,2.4978067874908447,,,,54.0
549,,,,,8.848796844482422,2.053168773651123,0.0003000000142492354,54.0
550,9.815292358398438,1.1383161544799805,2.0404131412506104,2.499420166015625,,,,55.0
559,,,,,9.128006935119629,2.042494535446167,0.0003000000142492354,55.0
560,9.772336959838867,1.1383161544799805,2.0265679359436035,2.513833999633789,,,,56.0
569,,,,,9.536083221435547,2.0322721004486084,0.0003000000142492354,56.0
570,10.244845390319824,1.1812715530395508,2.0173888206481934,2.5081374645233154,,,,57.0
579,,,,,9.987113952636719,2.021994113922119,0.0003000000142492354,57.0
580,11.426116943359375,1.1597938537597656,2.005875587463379,2.51857852935791,,,,58.0
589,,,,,10.910653114318848,2.0112645626068115,0.0003000000142492354,58.0
590,11.49055004119873,1.1168384552001953,1.9964262247085571,2.51511549949646,,,,59.0
599,,,,,11.146907806396484,2.001150131225586,0.0003000000142492354,59.0
600,12.26374626159668,1.1812715530395508,1.9854979515075684,2.52447772026062,,,,60.0
609,,,,,11.941580772399902,1.9907293319702148,0.0003000000142492354,60.0
610,13.230240821838379,1.1812715530395508,1.9737085103988647,2.5250356197357178,,,,61.0
619,,,,,12.34965705871582,1.9786885976791382,0.0003000000142492354,61.0
620,13.466495513916016,1.1597938537597656,1.9612523317337036,2.530893564224243,,,,62.0
