step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
10,,,,,0.017898693680763245,4.499885559082031,0.0,0.0
11,0.0,0.0,3.0539464950561523,3.0574514865875244,,,,1.0
21,,,,,0.0,2.797023296356201,0.0010000000474974513,1.0
22,0.0,0.0,2.453000545501709,2.4622583389282227,,,,2.0
32,,,,,0.465366005897522,2.412829637527466,0.0010000000474974513,2.0
33,1.1634150743484497,0.7785235047340393,2.3550517559051514,2.364137887954712,,,,3.0
43,,,,,0.9128333330154419,2.3455116748809814,0.0010000000474974513,3.0
44,1.235009789466858,0.7248322367668152,2.324403762817383,2.3324029445648193,,,,4.0
54,,,,,1.1634150743484497,2.3250253200531006,0.0010000000474974513,4.0
55,1.1813137531280518,0.7785235047340393,2.312798500061035,2.322425365447998,,,,5.0
65,,,,,1.1992124319076538,2.3151497840881348,0.0010000000474974513,5.0
66,1.270807147026062,0.6711409687995911,2.307765007019043,2.316838026046753,,,,6.0
76,,,,,1.0560228824615479,2.310424566268921,0.0010000000474974513,6.0
77,1.9151601791381836,1.8791946172714233,2.303095579147339,2.3118975162506104,,,,7.0
87,,,,,1.091820240020752,2.305678129196167,0.0010000000474974513,7.0
88,1.3066046237945557,0.7516778707504272,2.297668218612671,2.3059306144714355,,,,8.0
98,,,,,1.0202255249023438,2.2988908290863037,0.0010000000474974513,8.0
99,1.2171111106872559,0.5906040668487549,2.28965425491333,2.2957801818847656,,,,9.0
109,,,,,1.3781993389129639,2.2907943725585938,0.0010000000474974513,9.0
110,2.2731339931488037,1.9597315788269043,2.2805182933807373,2.2858734130859375,,,,10.0
120,,,,,1.8435653448104858,2.2826545238494873,0.0010000000474974513,10.0
121,2.129944324493408,1.9060403108596802,2.2749900817871094,2.281043767929077,,,,11.0
131,,,,,1.9867548942565918,2.278291702270508,0.0010000000474974513,11.0
132,2.1120457649230957,1.9597315788269043,2.272034168243408,2.2768709659576416,,,,12.0
142,,,,,2.183640480041504,2.2758469581604004,0.0010000000474974513,12.0
143,2.129944324493408,1.852349042892456,2.2697503566741943,2.2777113914489746,,,,13.0
153,,,,,2.094146966934204,2.273967742919922,0.0010000000474974513,13.0
154,2.344728708267212,1.9597315788269043,2.268022060394287,2.2765920162200928,,,,14.0
164,,,,,2.0762484073638916,2.2714767456054688,0.0010000000474974513,14.0
165,2.2731339931488037,1.771812081336975,2.266348123550415,2.2765676975250244,,,,15.0
175,,,,,1.9867548942565918,2.2703423500061035,0.0010000000474974513,15.0
176,2.219437837600708,1.8255033493041992,2.2640602588653564,2.278764247894287,,,,16.0
186,,,,,1.8077678680419922,2.2700438499450684,0.0010000000474974513,16.0
187,2.1657419204711914,1.8255033493041992,2.262211799621582,2.27832293510437,,,,17.0
197,,,,,2.2731339931488037,2.266235828399658,0.0010000000474974513,17.0
198,2.4342222213745117,1.7449665069580078,2.258716344833374,2.2854959964752197,,,,18.0
208,,,,,2.1657419204711914,2.2646796703338623,0.0010000000474974513,18.0
209,2.5953104496002197,1.6107382774353027,2.255154848098755,2.2885780334472656,,,,19.0
219,,,,,2.308931350708008,2.260096549987793,0.0010000000474974513,19.0
220,3.0964739322662354,1.4765100479125977,2.248528242111206,2.2970407009124756,,,,20.0
230,,,,,2.7742972373962402,2.251660108566284,0.0010000000474974513,20.0
231,3.347055435180664,1.3691275119781494,2.237006664276123,2.3170394897460938,,,,21.0
241,,,,,2.863790988922119,2.2426085472106934,0.0010000000474974513,21.0
242,3.633434534072876,1.2617449760437012,2.2245447635650635,2.3419809341430664,,,,22.0
252,,,,,3.472346305847168,2.22998046875,0.0010000000474974513,22.0
