step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
5,,,,,0.0,5.404105186462402,0.0,0.0
6,0.0,0.0,3.6126997470855713,3.6194264888763428,,,,1.0
11,,,,,0.0,3.470778465270996,0.0006000000284984708,1.0
12,0.0,0.0,2.9593422412872314,2.9704020023345947,,,,2.0
17,,,,,0.0,2.88543438911438,0.0010000000474974513,2.0
18,0.0,0.0,2.607818365097046,2.622025728225708,,,,3.0
23,,,,,0.0,2.555298089981079,0.0010000000474974513,3.0
24,0.35790979862213135,0.42957961559295654,2.4208476543426514,2.4374823570251465,,,,4.0
29,,,,,0.8231925368309021,2.410633087158203,0.0010000000474974513,4.0
30,1.4674301147460938,0.7671064734458923,2.368709087371826,2.3873612880706787,,,,5.0
35,,,,,1.6105940341949463,2.364697217941284,0.0010000000474974513,5.0
36,1.4316391944885254,0.8898435235023499,2.3402438163757324,2.3576104640960693,,,,6.0
41,,,,,1.395848274230957,2.3387367725372314,0.0010000000474974513,6.0
42,1.53901207447052,0.9358698725700378,2.324723243713379,2.339200496673584,,,,7.0
47,,,,,1.3958481550216675,2.3251147270202637,0.0010000000474974513,7.0
48,1.4674301147460938,0.8438171148300171,2.3150970935821533,2.329763174057007,,,,8.0
53,,,,,1.4674301147460938,2.316016912460327,0.0010000000474974513,8.0
54,1.4316391944885254,0.8284749984741211,2.3095858097076416,2.3258955478668213,,,,9.0
59,,,,,1.3242661952972412,2.310842990875244,0.0010000000474974513,9.0
60,1.4674301147460938,0.8438171148300171,2.304908037185669,2.3212413787841797,,,,10.0
65,,,,,1.4674301147460938,2.306572914123535,0.0010000000474974513,10.0
66,1.861130952835083,0.8591592311859131,2.3011314868927,2.3181207180023193,,,,11.0
71,,,,,1.3242661952972412,2.3041534423828125,0.0010000000474974513,11.0
72,2.0042948722839355,1.2733967304229736,2.2975525856018066,2.3156166076660156,,,,12.0
77,,,,,1.5390121936798096,2.299767017364502,0.0010000000474974513,12.0
78,1.5032211542129517,0.8438171148300171,2.2926154136657715,2.3120365142822266,,,,13.0
83,,,,,1.4316391944885254,2.293794870376587,0.0010000000474974513,13.0
84,1.4674301147460938,0.8438171148300171,2.287400007247925,2.3071863651275635,,,,14.0
89,,,,,1.5032212734222412,2.2891273498535156,0.0010000000474974513,14.0
90,2.147458791732788,1.3501074314117432,2.2803518772125244,2.301114559173584,,,,15.0
95,,,,,2.1832499504089355,2.2809793949127197,0.0010000000474974513,15.0
96,2.899069309234619,1.6416078805923462,2.2730555534362793,2.295206308364868,,,,16.0
101,,,,,2.3979954719543457,2.2750236988067627,0.0010000000474974513,16.0
102,2.50536847114563,1.8410555124282837,2.26643967628479,2.296696662902832,,,,17.0
107,,,,,2.68432354927063,2.268355369567871,0.0010000000474974513,17.0
108,3.0064423084259033,1.7643449306488037,2.257850170135498,2.297065019607544,,,,18.0
113,,,,,2.791696548461914,2.259817123413086,0.0010000000474974513,18.0
114,3.2927701473236084,1.7336605787277222,2.2489235401153564,2.3016610145568848,,,,19.0
119,,,,,2.6485326290130615,2.2511465549468994,0.0010000000474974513,19.0
120,3.5790979862213135,1.5495550632476807,2.2359046936035156,2.3101084232330322,,,,20.0
125,,,,,3.2211883068084717,2.2390739917755127,0.0010000000474974513,20.0
126,3.9727988243103027,1.5648971796035767,2.218381404876709,2.323310613632202,,,,21.0
131,,,,,4.0443806648254395,2.2208774089813232,0.0010000000474974513,21.0
132,4.867573261260986,1.4881865978240967,2.1923203468322754,2.351700782775879,,,,22.0
137,,,,,3.8654260635375977,2.1981077194213867,0.0010000000474974513,22.0
138,5.2612738609313965,1.3807916641235352,2.166288137435913,2.3764939308166504,,,,23.0
143,,,,,4.974946022033691,2.169116735458374,0.0010000000474974513,23.0
144,6.442376136779785,1.4268180131912231,2.1416661739349365,2.4021148681640625,,,,24.0
149,,,,,5.762348175048828,2.1460368633270264,0.0010000000474974513,24.0
150,7.372941970825195,1.3347651958465576,2.1150577068328857,2.4106738567352295,,,,25.0
155,,,,,7.050822734832764,2.117569923400879,0.0010000000474974513,25.0
156,8.518253326416016,1.3040809631347656,2.077812433242798,2.440276861190796,,,,26.0
161,,,,,7.8382248878479,2.080326557159424,0.0010000000474974513,26.0
162,9.842519760131836,1.2120282649993896,2.046139717102051,2.4558932781219482,,,,27.0
167,,,,,8.768789291381836,2.0503792762756348,0.0010000000474974513,27.0
168,11.34574031829834,1.2427124977111816,2.0106041431427,2.475407838821411,,,,28.0
173,,,,,10.522547721862793,2.0153725147247314,0.0010000000474974513,28.0
174,12.025769233703613,1.181343913078308,1.9784090518951416,2.5019586086273193,,,,29.0
179,,,,,11.775232315063477,1.9845386743545532,0.0010000000474974513,29.0
180,14.38797378540039,1.196686029434204,1.9399830102920532,2.513341188430786,,,,30.0
185,,,,,13.493200302124023,1.94639253616333,0.0010000000474974513,30.0
186,16.07015037536621,1.1353175640106201,1.906441569328308,2.530846357345581,,,,31.0
191,,,,,15.461703300476074,1.9113190174102783,0.0010000000474974513,31.0
192,17.82390785217285,1.181343913078308,1.8658220767974854,2.5519073009490967,,,,32.0
197,,,,,16.750179290771484,1.8733186721801758,0.0010000000474974513,32.0
198,18.754472732543945,1.166001796722412,1.8379149436950684,2.5693986415863037,,,,33.0
203,,,,,19.398712158203125,1.8382773399353027,0.0010000000474974513,33.0
204,21.939870834350586,1.166001796722412,1.7934412956237793,2.5809097290039062,,,,34.0
209,,,,,21.760915756225586,1.7953453063964844,0.0010000000474974513,34.0
210,23.371509552001953,1.196686029434204,1.7496370077133179,2.6005136966705322,,,,35.0
215,,,,,22.655689239501953,1.7543630599975586,0.0010000000474974513,35.0
216,28.095918655395508,1.1506596803665161,1.702356219291687,2.622494697570801,,,,36.0
221,,,,,26.735862731933594,1.7069872617721558,0.0010000000474974513,36.0
222,29.277021408081055,1.181343913078308,1.6604454517364502,2.6303727626800537,,,,37.0
227,,,,,28.811737060546875,1.6633836030960083,0.0010000000474974513,37.0
228,32.032928466796875,1.2887388467788696,1.6164767742156982,2.6535160541534424,,,,38.0
233,,,,,30.708660125732422,1.6169589757919312,0.0010000000474974513,38.0
234,37.4373664855957,1.181343913078308,1.5552418231964111,2.666558027267456,,,,39.0
239,,,,,34.323551177978516,1.5677684545516968,0.0010000000474974513,39.0
240,39.94273376464844,1.196686029434204,1.5089024305343628,2.6868743896484375,,,,40.0
245,,,,,37.222618103027344,1.5178028345108032,0.0010000000474974513,40.0
246,40.765926361083984,1.2120282649993896,1.4594151973724365,2.7014331817626953,,,,41.0
251,,,,,40.83750915527344,1.4695196151733398,0.0010000000474974513,41.0
252,45.09663391113281,1.166001796722412,1.4078930616378784,2.723609209060669,,,,42.0
257,,,,,42.55547332763672,1.42380690574646,0.0010000000474974513,42.0
258,46.81460189819336,1.196686029434204,1.3679472208023071,2.7488160133361816,,,,43.0
263,,,,,45.526126861572266,1.3730831146240234,0.0010000000474974513,43.0
264,47.995704650878906,1.2273703813552856,1.320467472076416,2.7572829723358154,,,,44.0
269,,,,,47.888328552246094,1.3230738639831543,0.0010000000474974513,44.0
270,52.72011184692383,1.2120282649993896,1.2575955390930176,2.7810356616973877,,,,45.0
275,,,,,50.322120666503906,1.2762000560760498,0.0010000000474974513,45.0
276,55.833927154541016,1.2120282649993896,1.207595944404602,2.810194253921509,,,,46.0
281,,,,,55.118106842041016,1.2173378467559814,0.0010000000474974513,46.0
282,59.98568344116211,1.2427124977111816,1.1505959033966064,2.8263535499572754,,,,47.0
287,,,,,56.907657623291016,1.1671779155731201,0.0010000000474974513,47.0
288,61.73944091796875,1.2273703813552856,1.1171438694000244,2.8520615100860596,,,,48.0
293,,,,,59.26986312866211,1.1255054473876953,0.0010000000474974513,48.0
294,66.14173126220703,1.2427124977111816,1.0434560775756836,2.8730523586273193,,,,49.0
299,,,,,63.02791213989258,1.0651220083236694,0.0010000000474974513,49.0
300,67.50178527832031,1.2427124977111816,1.0036327838897705,2.8970072269439697,,,,50.0
305,,,,,65.85540771484375,1.0215866565704346,0.0010000000474974513,50.0
306,70.90193176269531,1.2120282649993896,0.9588102102279663,2.910644054412842,,,,51.0
311,,,,,69.21975708007812,0.9662461876869202,0.0010000000474974513,51.0
312,74.1589126586914,1.2273703813552856,0.9014416337013245,2.931499719619751,,,,52.0
317,,,,,72.4051513671875,0.9188387393951416,0.0010000000474974513,52.0
318,76.23478698730469,1.3040809631347656,0.8564257621765137,2.962853193283081,,,,53.0
