step,full_train_acc,val_accuracy,full_train_loss,val_loss,train_accuracy,train_loss,learning_rate,epoch
9,,,,,0.0,4.710498809814453,0.0,0.0
10,0.0,0.0,3.1498446464538574,3.1551074981689453,,,,1.0
19,,,,,0.0,2.9198060035705566,0.0010000000474974513,1.0
20,0.0,0.0,2.501567840576172,2.509199857711792,,,,2.0
29,,,,,0.680272102355957,2.4471359252929688,0.0010000000474974513,2.0
30,1.998299241065979,1.9766205549240112,2.3641974925994873,2.3755831718444824,,,,3.0
39,,,,,1.7006802558898926,2.3517236709594727,0.0010000000474974513,3.0
40,2.0195577144622803,1.9766205549240112,2.3207008838653564,2.332075357437134,,,,4.0
49,,,,,1.0841835737228394,2.3161346912384033,0.0010000000474974513,4.0
50,0.2976190447807312,0.10626992583274841,2.298126697540283,2.308948516845703,,,,5.0
59,,,,,1.3818026781082153,2.2933568954467773,0.0010000000474974513,5.0
60,3.3801019191741943,2.7842719554901123,2.2705190181732178,2.2832181453704834,,,,6.0
69,,,,,3.039965867996216,2.2690963745117188,0.0010000000474974513,6.0
70,3.1462583541870117,2.996811866760254,2.254554271697998,2.2710015773773193,,,,7.0
79,,,,,2.827380895614624,2.256394147872925,0.0010000000474974513,7.0
80,3.1675169467926025,2.848033905029297,2.2476589679718018,2.2641303539276123,,,,8.0
89,,,,,3.1675169467926025,2.252366542816162,0.0010000000474974513,8.0
90,3.3801019191741943,2.9117958545684814,2.2419395446777344,2.2620153427124023,,,,9.0
99,,,,,3.2950680255889893,2.2473278045654297,0.0010000000474974513,9.0
100,3.401360511779785,2.9117958545684814,2.2389397621154785,2.262953042984009,,,,10.0
109,,,,,3.1887755393981934,2.2415337562561035,0.0010000000474974513,10.0
110,3.7627549171447754,2.8055260181427,2.2320644855499268,2.264533042907715,,,,11.0
119,,,,,3.613945484161377,2.2356324195861816,0.0010000000474974513,11.0
120,4.1454081535339355,2.6354939937591553,2.223828077316284,2.2706339359283447,,,,12.0
129,,,,,3.5926871299743652,2.228268623352051,0.0010000000474974513,12.0
